type,skill,job,cv
general,,33,2
hard,software,9,8
hard,development,8,1
general,engineer,6,3
general,sept,6,0
general,ghana,6,0
general,2022,5,0
hard,python,4,3
general,software engineer,4,2
hard,design,4,1
hard,technical,4,0
general,i,4,0
general,skills,3,2
general,engineering,3,1
general,various,3,0
general,backend,3,0
general,present,3,0
general,developed,3,0
general,march,3,0
general,2021,3,0
general,restful,3,0
general,graphql,3,0
general,developer,3,0
general, present,3,0
soft,experience,2,5
hard,test,2,1
hard,c,2,0
hard,aws,2,0
hard,linux,2,0
hard,ruby,2,0
soft,team,2,0
general,5,2,0
general,client,2,0
general,needs,2,0
general,documented,2,0
general,apps,2,0
general,unit,2,0
general,developers,2,0
general,alxholberton,2,0
general,javascript,2,0
general,api,2,0
general,agile,2,0
general,high,2,0
general,july,2,0
general,designed,2,0
general,implemented,2,0
general,db,2,0
general,salesforce,2,0
general,accra,2,0
general,angular,2,0
general,google,2,0
general,sept 2022,2,0
general,2022 ,2,0
general,march 2022,2,0
general,python javascript,2,0
general,backend engineer,2,0
general,sept 2021,2,0
general,2021 ,2,0
general, sept,2,0
general, designed,2,0
general, implemented,2,0
general,ghana software,2,0
general,2022  present,2,0
hard,data,1,6
hard,applications,1,3
hard,implementation,1,1
general,3,1,1
general,years,1,1
general,have,1,1
general,focus,1,1
general,degree,1,1
general,products,1,1
general,projects,1,1
general,3 years,1,1
general,software engineering,1,1
hard,algorithms,1,0
hard,communication,1,0
hard,emerging technologies,1,0
hard,technical guidance,1,0
hard,operating systems,1,0
hard,web,1,0
hard,analytics,1,0
hard,coding,1,0
hard,education,1,0
hard,data structures,1,0
hard,programming,1,0
soft,communication,1,0
soft,creative,1,0
soft,problemsolving,1,0
soft,attention to detail,1,0
soft,attention,1,0
soft,education,1,0
general,peach,1,0
general,lily,1,0
general,cl,1,0
general,lapaz,1,0
general,233,1,0
general,549,1,0
general,5027,1,0
general,48,1,0
general,danielkwameokyere101gmailcom,1,0
general,daniel,1,0
general,k,1,0
general,okyere,1,0
general,long,1,0
general,thin,1,0
general,rectangle,1,0
general,divide,1,0
general,sections,1,0
general,document,1,0
general,summary,1,0
general,customerfocused,1,0
general,professional,1,0
general,superior,1,0
general,expertise,1,0
general,platforms,1,0
general,automation,1,0
general,tools,1,0
general,am,1,0
general,well,1,0
general,experienced,1,0
general,operating,1,0
general,systems,1,0
general,scripting,1,0
general,also,1,0
general,play,1,0
general,key,1,0
general,roles,1,0
general,frontend,1,0
general,expert,1,0
general,site,1,0
general,reliability,1,0
general,understand,1,0
general,meet,1,0
general,employer,1,0
general,delivering,1,0
general,highly,1,0
general,functional,1,0
general,robust,1,0
general,easy,1,0
